grid mercator 4096x4096 lat_cut 85.0511; GHS-POP block-summed by 5
total 8.1920 bn people; dropped beyond +-85.0511: 44; sigma 3.07 px; max_disp 1.5348422074346335
  level 512x512
  iter 70 residual 4.0604 folds 7416323 7s
  iter 80 residual 4.0752 folds 7399855 9s
  iter 90 residual 4.1021 folds 7449263 10s
  iter 100 residual 4.0896 folds 7399827 11s
  iter 110 residual 4.1159 folds 7453510 12s
  iter 120 residual 4.0723 folds 7422740 13s
  homotopy share 0.995 (floor 0.005025)
  iter start residual 4.2247 folds 7416323
  iter 0 residual 4.2020 folds 7444199 0s
  iter 10 residual 4.0669 folds 7611465 1s
  iter 20 residual 4.0772 folds 7748610 2s
  iter 30 residual 4.1031 folds 7776412 3s
  iter 40 residual 4.1332 folds 7790783 4s
  iter 50 residual 4.1217 folds 7781049 5s
  iter 60 residual 4.1284 folds 7816473 6s
  homotopy share 0.999 (floor 0.001001)
  iter start residual 4.1983 folds 7611465
  iter 0 residual 4.1876 folds 7640059 0s
  iter 10 residual 4.1429 folds 7961851 1s
  iter 20 residual 4.1744 folds 8086283 2s
  iter 30 residual 4.1922 folds 8119311 3s
  iter 40 residual 4.1859 folds 8091602 4s
  iter 50 residual 4.1827 folds 8115807 5s
  iter 60 residual 4.1465 folds 8069242 6s
pre-repair: {"folds": 7346367, "gate_folds": "FAIL", "log_ratio_popweighted_p05": -0.139, "log_ratio_popweighted_p50": 0.0128, "log_ratio_popweighted_p95": 0.179, "log_ratio_min": -10.7743, "log_ratio_max": 8.5491, "anisotropy_popweighted_p50": 3.8607, "anisotropy_popweighted_p95": 19.4961, "displacement_mean_px": 913.5428, "displacement_max_px": 2081.982}
  fold repair: 7346367 -> 4380289 folds (103056 in populated cells) in 499 iterations, 15203406 corners touched
{
 "folds": 4380289,
 "gate_folds": "FAIL",
 "log_ratio_popweighted_p05": -0.1392720533816139,
 "log_ratio_popweighted_p50": 0.012759654600879942,
 "log_ratio_popweighted_p95": 0.17923135199010515,
 "log_ratio_min": -10.47217159634191,
 "log_ratio_max": 23.925289349799154,
 "anisotropy_popweighted_p50": 3.8622599696563458,
 "anisotropy_popweighted_p95": 19.589270645736587,
 "displacement_mean_px": 913.351188144418,
 "displacement_max_px": 2081.9819621276743,
 "folds_before_repair": 7346367,
 "folds_after_repair": 4380289,
 "repair_iterations": 499,
 "repaired_corners": 15203406,
 "folds_in_populated_cells": 103056,
 "p95_shift_by_repair": 0.00028073398772787694,
 "pre_repair": {
  "log_ratio_popweighted_p05": -0.13904352648591828,
  "log_ratio_popweighted_p95": 0.17895061800237727,
  "anisotropy_popweighted_p50": 3.860694867392193,
  "anisotropy_popweighted_p95": 19.496061707981227
 },
 "mode": "ot_homotopy",
 "stages": [
  {
   "share": 0.95,
   "iters": 121,
   "residual": 3.7498154640197754,
   "cell_folds": 5891535
  },
  {
   "share": 0.98,
   "iters": 111,
   "residual": 3.964851140975952,
   "cell_folds": 6913278
  },
  {
   "share": 0.99,
   "iters": 121,
   "residual": 4.060366630554199,
   "cell_folds": 7416323
  },
  {
   "share": 0.995,
   "iters": 61,
   "residual": 4.0669331550598145,
   "cell_folds": 7611465
  },
  {
   "share": 0.999,
   "iters": 61,
   "residual": 4.1428985595703125,
   "cell_folds": 7961851
  }
 ],
 "polish_residual": 4.1428985595703125,
 "seconds": 315.80250906944275
}
renders in 18s
gate S4 folds: FAIL (4380289); wrote /Users/phil/historical-cartogram/experiments/e024_M10_homotopy_4096_pure
